ch_name,mal_id,mal_title,img_url
勇者死了！,51706,Yuusha ga Shinda!,https://cdn.myanimelist.net/images/anime/1868/133866.jpg
佐賀偶像是傳奇,37976,Zombieland Saga,https://cdn.myanimelist.net/images/anime/1084/128208.jpg
慢活開始,35540,Slow Start,https://cdn.myanimelist.net/images/anime/4/89982.jpg
佐賀偶像是傳奇 夢幻銀河樂園,50159,Zombieland Saga Movie: Yumeginga Paradise,https://cdn.myanimelist.net/images/anime/1552/151187.jpg
吊帶襪天使,8795,Panty & Stocking with Garterbelt,https://cdn.myanimelist.net/images/anime/1296/142674.jpg
無能力者娜娜,41619,Munou na Nana,https://cdn.myanimelist.net/images/anime/1301/110433.jpg
裏世界遠足,41392,Urasekai Picnic,https://cdn.myanimelist.net/images/anime/1494/111515.jpg
宇宙巡警露露子,32681,Uchuu Patrol Luluco,https://cdn.myanimelist.net/images/anime/4/79073.jpg
Summer Pockets,50694,Summer Pockets,https://cdn.myanimelist.net/images/anime/1691/148602.jpg
章魚嗶的原罪,60489,Takopii no Genzai,https://cdn.myanimelist.net/images/anime/1182/149879.jpg
高校艦隊,31500,High School Fleet,https://cdn.myanimelist.net/images/anime/9/79670.jpg
葬送的芙莉蓮,52991,Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006.jpg
mono女孩,58492,Mono,https://cdn.myanimelist.net/images/anime/1677/148603.jpg
監獄學園,30240,Prison School,https://cdn.myanimelist.net/images/anime/1286/112161.jpg
電影 K-ON！輕音部,9617,K-On! Movie,https://cdn.myanimelist.net/images/anime/5/76233.jpg
K-ON！！輕音部,7791,K-On!!,https://cdn.myanimelist.net/images/anime/12/76121.jpg
空之境界劇場版 未來福音,14807,Kara no Kyoukai Movie: Mirai Fukuin,https://cdn.myanimelist.net/images/anime/6/56621.jpg
彼方的阿斯特拉,39198,Kanata no Astra,https://cdn.myanimelist.net/images/anime/1784/106428.jpg
賽馬娘 Pretty Derby 第二季,42941,Uma Musume: Pretty Derby Season 2,https://cdn.myanimelist.net/images/anime/1447/114282.jpg
江戶前精靈,52081,Edomae Elf,https://cdn.myanimelist.net/images/anime/1171/133777.jpg
K-ON！輕音部,5680,K-On!,https://cdn.myanimelist.net/images/anime/10/76120.jpg
別冊奧林匹克之環,41266,Bessatsu Olympia Kyklos,https://cdn.myanimelist.net/images/anime/1783/113441.jpg
BACK ARROW,40964,Back Arrow,https://cdn.myanimelist.net/images/anime/1373/111546.jpg
喜歡本大爺的竟然就妳一個？,38483,Ore wo Suki nano wa Omae dake ka yo,https://cdn.myanimelist.net/images/anime/1348/102797.jpg
神推偶像登上武道館我就死而無憾,37890,Oshi ga Budoukan Ittekuretara Shinu,https://cdn.myanimelist.net/images/anime/1139/104708.jpg
博多豚骨拉麵團,35889,Hakata Tonkotsu Ramens,https://cdn.myanimelist.net/images/anime/1718/91097.jpg
天元突破 紅蓮螺巖,2001,Tengen Toppa Gurren Lagann,https://cdn.myanimelist.net/images/anime/4/5123.jpg
KILL la KILL,18679,Kill la Kill,https://cdn.myanimelist.net/images/anime/1464/111943.jpg
失憶投捕,56165,Boukyaku Battery (TV),https://cdn.myanimelist.net/images/anime/1372/142242.jpg
NULL & PETA,40178,Null Peta,https://cdn.myanimelist.net/images/anime/1586/103381.jpg
少女樂團 吶喊吧,55102,Girls Band Cry,https://cdn.myanimelist.net/images/anime/1711/140515.jpg
流汗吧！健身少女,39026,Dumbbell Nan Kilo Moteru?,https://cdn.myanimelist.net/images/anime/1385/101060.jpg
萌獸寵物店,39030,Hataage! Kemono Michi,https://cdn.myanimelist.net/images/anime/1736/103512.jpg
非洲的動物上班族,39590,Africa no Salaryman (TV),https://cdn.myanimelist.net/images/anime/1937/102309.jpg
你遭難了嗎？,39456,Sounan desu ka?,https://cdn.myanimelist.net/images/anime/1741/102237.jpg
86－不存在的戰區－,41457,86,https://cdn.myanimelist.net/images/anime/1987/117507.jpg
人渣的本願,32949,Kuzu no Honkai,https://cdn.myanimelist.net/images/anime/5/83937.jpg
劇場版 賽馬娘 ROAD TO THE TOP,51761,Uma Musume: Pretty Derby - Road to the Top,https://cdn.myanimelist.net/images/anime/1102/135552.jpg
賽馬娘 Pretty Derby 第三季,53526,Uma Musume: Pretty Derby Season 3,https://cdn.myanimelist.net/images/anime/1475/138948.jpg
齊木楠雄的災難 第二季,34612,Saiki Kusuo no Ψ-nan 2,https://cdn.myanimelist.net/images/anime/1961/91383.jpg
為美好的世界獻上祝福！3,49458,Kono Subarashii Sekai ni Shukufuku wo! 3,https://cdn.myanimelist.net/images/anime/1758/141268.jpg
不起眼女主角培育法,23277,Saenai Heroine no Sodatekata,https://cdn.myanimelist.net/images/anime/1329/142757.jpg
魔法少女小圓 新編 叛逆的物語,11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://cdn.myanimelist.net/images/anime/5/54231.jpg
魔法少女小圓,9756,Mahou Shoujo Madoka★Magica,https://cdn.myanimelist.net/images/anime/11/55225.jpg
岸邊露伴一動也不動,33191,Kishibe Rohan wa Ugokanai,https://cdn.myanimelist.net/images/anime/1716/103072.jpg
NO GAME NO LIFE 遊戲人生,19815,No Game No Life,https://cdn.myanimelist.net/images/anime/1074/111944.jpg
黃金神威 第三季,40059,Golden Kamuy 3rd Season,https://cdn.myanimelist.net/images/anime/1763/108108.jpg
黃金神威 第二季,37989,Golden Kamuy 2nd Season,https://cdn.myanimelist.net/images/anime/1180/95018.jpg
八月的棒球甜心,38091,Hachigatsu no Cinderella Nine,https://cdn.myanimelist.net/images/anime/1824/100449.jpg
黃金神威,36028,Golden Kamuy,https://cdn.myanimelist.net/images/anime/1145/90880.jpg
BanG Dream! It's MyGO!!!!!,54959,BanG Dream! It's MyGO!!!!!,https://cdn.myanimelist.net/images/anime/1891/136948.jpg
MEGALOBOX 機甲拳擊,36563,Megalo Box,https://cdn.myanimelist.net/images/anime/1958/93533.jpg
輝夜姬想讓人告白－永不結束的初吻－,52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://cdn.myanimelist.net/images/anime/1670/130060.jpg
OVERLORD,29803,Overlord,https://cdn.myanimelist.net/images/anime/1945/136600.jpg
小林家的龍女僕,33206,Kobayashi-san Chi no Maid Dragon,https://cdn.myanimelist.net/images/anime/5/85434.jpg
GRAND BLUE 碧藍之海,37105,Grand Blue,https://cdn.myanimelist.net/images/anime/1302/94882.jpg
調教咖啡廳,34618,Blend S,https://cdn.myanimelist.net/images/anime/6/88286.jpg
中二病也想談戀愛！,14741,Chuunibyou demo Koi ga Shitai!,https://cdn.myanimelist.net/images/anime/1905/142840.jpg
天使降臨到我身邊！,37993,Watashi ni Tenshi ga Maiorita!,https://cdn.myanimelist.net/images/anime/1778/100470.jpg
我的腦內戀礙選項,19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",https://cdn.myanimelist.net/images/anime/10/53235.jpg
可塑性記憶,27775,Plastic Memories,https://cdn.myanimelist.net/images/anime/4/72750.jpg
夏日時光,47194,Summertime Render,https://cdn.myanimelist.net/images/anime/1120/120796.jpg
Kanon (東映版),144,Kanon,https://cdn.myanimelist.net/images/anime/1552/128388.jpg
WORKING!!迷糊餐廳 第二季,10521,Working'!!,https://cdn.myanimelist.net/images/anime/3/75263.jpg
WORKING!!迷糊餐廳,6956,Working!!,https://cdn.myanimelist.net/images/anime/10/75262.jpg
BanG Dream！第三季,37870,BanG Dream! 3rd Season,https://cdn.myanimelist.net/images/anime/1985/104767.jpg
BanG Dream！FILM LIVE,39619,BanG Dream! Film Live,https://cdn.myanimelist.net/images/anime/1163/117736.jpg
荒野的壽飛行隊,38301,Kouya no Kotobuki Hikoutai,https://cdn.myanimelist.net/images/anime/1252/96179.jpg
BanG Dream！第二季,37869,BanG Dream! 2nd Season,https://cdn.myanimelist.net/images/anime/1967/108632.jpg
BanG Dream！,33573,BanG Dream!,https://cdn.myanimelist.net/images/anime/4/82414.jpg
幻日夜羽 -鏡中暉光-,52214,Genjitsu no Yohane: Sunshine in the Mirror,https://cdn.myanimelist.net/images/anime/1208/133335.jpg
銀之匙 第二季,19363,Gin no Saji 2nd Season,https://cdn.myanimelist.net/images/anime/8/57995.jpg
Love Live！虹咲學園 學園偶像同好會 NEXT SKY,53671,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,https://cdn.myanimelist.net/images/anime/1515/134847.jpg
Little Busters ! EX,20517,Little Busters! EX,https://cdn.myanimelist.net/images/anime/3/59031.jpg
銀之匙,16918,Gin no Saji,https://cdn.myanimelist.net/images/anime/6/49237.jpg
賽馬娘 Pretty Derby,35249,Uma Musume: Pretty Derby,https://cdn.myanimelist.net/images/anime/1478/91837.jpg
Little Busters ! ～Refrain～,18195,Little Busters! Refrain,https://cdn.myanimelist.net/images/anime/10/55049.jpg
網路勝利組,36038,Net-juu no Susume,https://cdn.myanimelist.net/images/anime/3/87463.jpg
動畫同好會,35427,Animegataris,https://cdn.myanimelist.net/images/anime/12/89686.jpg
宇宙戰艦提拉米斯,36267,Uchuu Senkan Tiramisù,https://cdn.myanimelist.net/images/anime/1864/93615.jpg
愛麗絲與藏六,34350,Alice to Zouroku,https://cdn.myanimelist.net/images/anime/2/84598.jpg
強風吹拂,37965,Kaze ga Tsuyoku Fuiteiru,https://cdn.myanimelist.net/images/anime/1936/129119.jpg
為美好的世界獻上爆焰！,51958,Kono Subarashii Sekai ni Bakuen wo!,https://cdn.myanimelist.net/images/anime/1626/135844.jpg
天籟人偶,50917,Prima Doll,https://cdn.myanimelist.net/images/anime/1553/124311.jpg
飛翔的魔女,31376,Flying Witch,https://cdn.myanimelist.net/images/anime/6/80039.jpg
女高中生的虛度日常,38619,Joshikousei no Mudazukai,https://cdn.myanimelist.net/images/anime/1343/111356.jpg
吸血鬼馬上死 第二季,50287,Kyuuketsuki Sugu Shinu 2,https://cdn.myanimelist.net/images/anime/1254/131832.jpg
勇者、辭職不幹了,50175,"Yuusha, Yamemasu",https://cdn.myanimelist.net/images/anime/1934/122301.jpg
只有我不存在的城市,31043,Boku dake ga Inai Machi,https://cdn.myanimelist.net/images/anime/10/77957.jpg
Love Live！虹咲學園 學園偶像同好會 短篇動畫,53077,Nijiyon Animation,https://cdn.myanimelist.net/images/anime/1977/135538.jpg
Vivy -Fluorite Eye's Song-,46095,Vivy: Fluorite Eye's Song,https://cdn.myanimelist.net/images/anime/1551/128960.jpg
Fate/stay night [Unlimited Blade Works] 第二季,28701,Fate/stay night: Unlimited Blade Works 2nd Season,https://cdn.myanimelist.net/images/anime/1881/124810.jpg
成神之日,41930,Kamisama ni Natta Hi,https://cdn.myanimelist.net/images/anime/1396/109465.jpg
Fate/stay night [Unlimited Blade Works],22297,Fate/stay night: Unlimited Blade Works,https://cdn.myanimelist.net/images/anime/12/67333.jpg
Anima Yell!,37206,Anima Yell!,https://cdn.myanimelist.net/images/anime/1051/93862.jpg
New Game! 第二季,34914,New Game!!,https://cdn.myanimelist.net/images/anime/4/86790.jpg
Fate/zero 第二季,11741,Fate/Zero 2nd Season,https://cdn.myanimelist.net/images/anime/1522/117645.jpg
Fate/zero,10087,Fate/Zero,https://cdn.myanimelist.net/images/anime/1887/117644.jpg
吸血鬼馬上死,41833,Kyuuketsuki Sugu Shinu,https://cdn.myanimelist.net/images/anime/1892/117151.jpg
末日時在做什麼？有沒有空？可以來拯救嗎？,33502,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,https://cdn.myanimelist.net/images/anime/4/85260.jpg
笨拙之極的上野,37920,Ueno-san wa Bukiyou,https://cdn.myanimelist.net/images/anime/1874/111374.jpg
白箱 SHIROBAKO,25835,Shirobako,https://cdn.myanimelist.net/images/anime/1460/141897.jpg
Lycoris Recoil 莉可麗絲,50709,Lycoris Recoil,https://cdn.myanimelist.net/images/anime/1261/127311.jpg
學園奶爸,35222,Gakuen Babysitters,https://cdn.myanimelist.net/images/anime/8/89978.jpg
月刊少女野崎同學,23289,Gekkan Shoujo Nozaki-kun,https://cdn.myanimelist.net/images/anime/5/66083.jpg
孤獨搖滾！,47917,Bocchi the Rock!,https://cdn.myanimelist.net/images/anime/1448/127956.jpg
